© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Acetone Degradation I (to Methylglyoxal)	3.38E00	1.67E-01	-2.236	CYP2D6,CYP2E1,CYP4A11,CYP4A22,CYP4B1	
Xenobiotic Metabolism General Signaling Pathway	2.64E00	6.82E-02	-2.121	GSTM2,GSTM4,MAP3K1,MAP3K13,NR1H2,RASD2,RXRA,UGT2B10,UGT2B11	
Pregnenolone Biosynthesis	2.61E00	2.31E-01	NaN	CYP2E1,CYP4A11,CYP4A22	
Nicotine Degradation III	2.6E00	1.14E-01	-2.236	CYP2D6,CYP2E1,CYP4B1,UGT2B10,UGT2B11	
Methylglyoxal Degradation III	2.52E00	2.14E-01	NaN	CYP2E1,CYP4A11,CYP4A22	
Melatonin Degradation I	2.48E00	1.06E-01	-2.236	CYP2D6,CYP2E1,CYP4B1,UGT2B10,UGT2B11	
Histidine Degradation VI	2.43E00	2E-01	NaN	CYP2E1,CYP4A11,CYP4A22	
Nicotine Degradation II	2.4E00	1.02E-01	-2.236	CYP2D6,CYP2E1,CYP4B1,UGT2B10,UGT2B11	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.4E00	1.02E-01	-2.236	BRCA1,CKS1B,MDM4,SFN,TP53	
Small Cell Lung Cancer Signaling	2.37E00	8.45E-02	NaN	BCL2L1,CKS1B,MYC,PIAS3,RXRA,TP53	
Superpathway of Melatonin Degradation	2.32E00	9.8E-02	-2.236	CYP2D6,CYP2E1,CYP4B1,UGT2B10,UGT2B11	
Non-Small Cell Lung Cancer Signaling	2.31E00	8.22E-02	-1.000	ERBB2,ITPR1,ITPR2,RASD2,RXRA,TP53	
Ubiquinol-10 Biosynthesis (Eukaryotic)	2.27E00	1.76E-01	NaN	CYP2E1,CYP4A11,CYP4A22	
IL-15 Signaling	2.25E00	8E-02	0.000	BCL2L1,CXCL8,IL5RA,JAK2,MYC,RASD2	
EIF2 Signaling	2.23E00	5.26E-02	2.000	AGO2,EIF4A1,MYC,RASD2,RPL19,RPL27A,RPL31,RPS2,RPS21,RPS29,RPS8	
DNA damage-induced 14-3-3σ Signaling	2.13E00	1.58E-01	NaN	BRCA1,SFN,TP53	
Regulation of eIF4 and p70S6K Signaling	2.11E00	5.66E-02	NaN	AGO2,EIF4A1,ITGA5,PTPA,RASD2,RPS2,RPS21,RPS29,RPS8	
PDGF Signaling	1.97E00	6.98E-02	-0.447	ACP1,JAK2,MAP3K1,MYC,PDGFC,RASD2	
Protein Ubiquitination Pathway	1.87E00	4.49E-02	NaN	AMFR,BIRC3,BRCA1,DNAJC15,DNAJC21,HSPD1,NEDD4L,SMO,UBA1,USP3,USP34,USP5	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.84E00	1.25E-01	NaN	CGA,IFNGR2,JAK2	
Bupropion Degradation	1.84E00	1.25E-01	NaN	CYP2D6,CYP2E1,CYP4B1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.77E00	4.97E-02	NaN	COL6A1,COL6A2,CXCL8,CYP2E1,IFNGR2,LY96,PDGFC,SMAD7,TIMP1	
PI3K/AKT Signaling	1.75E00	4.95E-02	0.000	BCL2L1,CXCR1,IL5RA,ITGA5,JAK2,PTPA,RASD2,SFN,TP53	
Bladder Cancer Signaling	1.75E00	6.25E-02	NaN	CXCL8,ERBB2,MYC,PDGFC,RASD2,TP53	
p53 Signaling	1.73E00	6.19E-02	-1.342	BCL2L1,BRCA1,MDM4,PML,SFN,TP53	
Ephrin Receptor Signaling	1.7E00	4.84E-02	-1.134	ACP1,GNG11,GRIN2D,ITGA5,JAK2,PAK3,PDGFC,RASD2,ROCK2	
Adenine and Adenosine Salvage VI	1.67E00	1E00	NaN	ADK	
Neuregulin Signaling	1.63E00	5.88E-02	-2.000	DLG4,ERBB2,ITGA5,MYC,RASD2,TMEFF2	
Telomerase Signaling	1.6E00	5.77E-02	0.447	DKC1,ELF1,MYC,PTPA,RASD2,TP53	
IGF-1 Signaling	1.6E00	5.77E-02	NaN	IGFBP1,IGFBP7,JAK2,RASD2,SFN,SOCS6	
Erythropoietin Signaling	1.6E00	4.91E-02	-1.414	BCL2L1,BIRC3,CXCL8,ITPR1,ITPR2,JAK2,RASD2,TP53	
IL-8 Signaling	1.57E00	4.59E-02	-0.707	ARRB2,BCL2L1,CXCL8,CXCR1,GNG11,IQGAP1,PDGFC,RASD2,ROCK2	
STAT3 Pathway	1.56E00	5.19E-02	0.000	CXCR1,IL5RA,JAK2,MYC,PIAS3,RASD2,SOCS6	
Airway Inflammation in Asthma	1.54E00	9.68E-02	NaN	CCL20,CXCL8,IFNGR2	
JAK/Stat Signaling	1.53E00	6.25E-02	0.000	BCL2L1,JAK2,PIAS3,RASD2,SOCS6	
Pancreatic Adenocarcinoma Signaling	1.53E00	5.56E-02	-1.633	BCL2L1,CYP2E1,ERBB2,JAK2,PDGFC,TP53	
Role of IL-17A in Psoriasis	1.51E00	1.54E-01	NaN	CCL20,CXCL8	
LPS/IL-1 Mediated Inhibition of RXR Function	1.42E00	4.31E-02	1.342	ALDH1A1,CYP4A11,FABP2,GSTM2,GSTM4,LY96,MAP3K1,NR1H2,RXRA	
Role of Tissue Factor in Cancer	1.41E00	5.22E-02	NaN	ARRB2,BCL2L1,CXCL8,JAK2,RASD2,TP53	
Sirtuin Signaling Pathway	1.41E00	3.97E-02	-1.667	ACSS2,ATG16L1,ATG2B,CXCL8,KAT2A,LDHB,MYC,NR1H2,POLR1A,SMARCA5,TP53	
Induction of Apoptosis by HIV1	1.39E00	6.67E-02	1.000	BCL2L1,BIRC3,SLC25A3,TP53	
Endometrial Cancer Signaling	1.39E00	6.67E-02	NaN	ERBB2,MYC,RASD2,TP53	
Oxidative Ethanol Degradation III	1.39E00	1.33E-01	NaN	ACSS2,ALDH1A1	
Renin-Angiotensin Signaling	1.38E00	5.13E-02	-0.447	ITPR1,ITPR2,JAK2,MAP3K1,PAK3,RASD2	
Complement System	1.37E00	8.33E-02	NaN	C5AR1,C8B,C9	
