© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
PXR/RXR Activation	5.25E00	1.97E-01	NaN	ABCC2,CPT1A,CYP2B6,CYP2C8,CYP2C9,CYP7A1,HMGCS2,IGFBP1,NCOA1,PRKACB,PRKAR2B,SLCO1B3	
Acetone Degradation I (to Methylglyoxal)	3.77E00	2.33E-01	1.890	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1,CYP4A11,CYP4A22	
IL-3 Signaling	3.44E00	1.39E-01	2.111	GRB2,JAK1,JAK2,JUN,PAK1,PIK3CB,PPP3CB,PRKCA,PRKCB,RRAS2,STAT5B	
CD28 Signaling in T Helper Cells	3.21E00	1.17E-01	2.309	ARPC2,ARPC5L,CD28,CHUK,CTLA4,ELP1,GRB2,ITPR3,JUN,NFATC3,PAK1,PIK3CB,PPP3CB	
Stearate Biosynthesis I (Animals)	3.17E00	1.67E-01	2.121	ACOT9,ACSL5,CYP2E1,CYP4A11,CYP4A22,SLC27A2,SRD5A3,TBXAS1	
Renal Cell Carcinoma Signaling	2.9E00	1.28E-01	2.449	EGLN3,EP300,GRB2,JUN,PAK1,PAK2,PIK3CB,RRAS2,UBD,VEGFA	
Pregnenolone Biosynthesis	2.83E00	3.08E-01	2.000	CYP11A1,CYP2E1,CYP4A11,CYP4A22	
Nicotine Degradation III	2.72E00	1.59E-01	1.134	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1,UGT2B10,UGT3A1	
RAR Activation	2.65E00	8.9E-02	NaN	ARID1A,CITED2,EP300,HLTF,JAK2,JUN,NCOA1,NSD1,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PSMC5,SMARCA2,STAT5B,VEGFA	
Bupropion Degradation	2.6E00	2.08E-01	1.342	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1	
Histidine Degradation VI	2.58E00	2.67E-01	2.000	CYP11A1,CYP2E1,CYP4A11,CYP4A22	
Melatonin Degradation I	2.55E00	1.49E-01	1.134	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1,UGT2B10,UGT3A1	
PPARα/RXRα Activation	2.54E00	8.94E-02	-0.535	ACOX1,CHUK,CYP2C8,CYP2C9,ELP1,EP300,GRB2,JAK2,JUN,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2,STAT5B	
Nur77 Signaling in T Lymphocytes	2.53E00	1.33E-01	1.414	APAF1,CD28,EP300,MAP2K5,PDK1,PPP3CB,PRKCA,PRKCB	
Renin-Angiotensin Signaling	2.51E00	1.03E-01	1.155	GRB2,ITPR3,JAK2,JUN,PAK1,PAK2,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
Angiopoietin Signaling	2.5E00	1.22E-01	1.414	ANGPT4,CHUK,ELP1,GRB2,PAK1,PAK2,PIK3CB,RRAS2,STAT5B	
Spliceosomal Cycle	2.49E00	1.46E-01	1.890	DDX23,DHX15,DHX8,EIF4A3,ISY1,ISY1-RAB43,PRPF19	
Ketolysis	2.48E00	3.75E-01	NaN	HADHA,HADHB,OXCT1	
Nicotine Degradation II	2.44E00	1.43E-01	1.134	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1,UGT2B10,UGT3A1	
