© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
VEGFA	-1.051	growth factor	Activated	2.369	 	2.88E-01	COX8A,CXCL8,ME2,MRPL3,RCAN1,TP53	 
NUPR1	 	transcription regulator	Activated	3.000	 	7.15E-02	ACAD10,ATP8B1,BRCA1,BUB1B,CENPI,CNPY4,CXCL8,H2AC12,H2AC13,KIF2C,MYC,NEMP1,OSGEPL1,RBMS1,RFX5,SPG7	 
TWIST1	 	transcription regulator	Activated	2.000	 	6.96E-02	ALDH1A1,CXCL8,IGFBP1,TP53	 
RB1	 	transcription regulator	Activated	2.200	 	2.62E-02	BARD1,BRCA1,CXCL8,H2AC8,MYC,PGRMC1,POLD3,SMARCA5,TP53	 
SMPD1	 	enzyme	Activated	2.000	bias	1.20E-02	CCL20,CXCL8,JAK2,SLIT2	 
indirubin	 	chemical drug	Activated	2.000	 	3.31E-04	BCL2L1,BIRC3,IGFBP1,MYC	21 (6)
LY294002	 	chemical - kinase inhibitor	Activated	2.243	 	1.10E-01	ACSS2,BCL2L1,BIRC3,BUB1B,CXCL8,H4C3,MYC,SFN,SGK1,SQLE,TAC1,TP53,WTAP	 
geldanamycin	 	chemical - endogenous non-mammalian	Activated	2.143	 	2.68E-02	AGO2,ARRB2,BCL2L1,BGN,COL6A2,CXCL8,ERBB2,HSPD1,STIMATE,SYT2,TP53	 
romidepsin	 	biologic drug	Activated	2.183	 	2.40E-02	BCL2L1,CXCL8,ERBB2,MYC,TP53	 
evodiamine	 	chemical - endogenous non-mammalian	Activated	2.000	 	1.20E-03	BCL2L1,BIRC3,CXCL8,MYC	46 (10)
5-fluorouracil	 	chemical drug	Inhibited	-2.854	 	2.17E-04	BCL2L1,COX8A,EIF4A1,IER5,ILF2,MYC,OAZ1,RPL19,RPL27A,RPL31,RPS29,RPS8,RXRA,SFN,SLC25A3,SPINK1,TNFRSF12A,TP53	58 (7)
CCND1	 	transcription regulator	Inhibited	-2.345	 	1.86E-02	ARHGEF2,BRCA1,EEF1B2,ERBB2,H4C8,JPT1,KIF2C,MAFF,POLD3,RPL27A,SEC22A,TP53	 
LARP1	-1.016	translation regulator	Inhibited	-2.121	bias	4.56E-04	EEF1B2,RPL19,RPL27A,RPL31,RPS2,RPS21,RPS29,RPS8	 
HIF1A	 	transcription regulator	Inhibited	-2.261	bias	1.97E-05	BCL2L1,BGN,BRCA1,CEMIP,CXCL8,CXCR1,ERBB2,FHL3,GLYR1,ITGA5,ITPR1,MAFF,MYC,PLAC8,R3HCC1L,SMAD7,SPACA9,TAC1,TIMP1,TP53	63 (12)
RAF1	 	kinase	Inhibited	-2.059	bias	4.93E-02	ERBB2,MYC,OSMR,PC,RPS2,SNRPD1,SQLE,TIMP1	 
R5020	 	chemical reagent	Inhibited	-2.200	 	7.60E-03	BIRC3,DKK1,ERBB2,LGALS3BP,MYC,SGK1	37 (5)
D-alpha-tocopheryl succinate	 	chemical reagent	 	 	 	2.72E-02	BCL2L1,TP53	 
Convulxin	 	complex	 	 	 	4.32E-02	CXCL8	 
15-deoxy-delta-12,14 -PGJ 2	 	chemical - endogenous mammalian	 	0.896	 	2.50E-02	BCL2L1,BIRC3,BRCA1,CXCL8,FABP2,MYC,TP53	 
prostaglandin A1	 	chemical - endogenous non-mammalian	 	 	 	2.51E-03	BCL2L1,CXCL8,TP53	41 (10)
15-epi-lipoxin A4	 	chemical - endogenous mammalian	 	 	 	9.29E-03	C5AR1,CXCL8	 
5-N-ethylcarboxamido adenosine	 	chemical reagent	 	 	 	8.94E-03	CCL20,CGA,CXCL8	 
adenosine	 	chemical - endogenous mammalian	 	 	 	1.30E-02	BCL2L1,CXCL8,TIMP1,TP53	 
hypoxanthine	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CXCL8	 
6-dimethylaminopurine	 	chemical - endogenous mammalian	 	 	 	4.32E-02	BCL2L1	 
3-methyladenine	 	chemical toxicant	 	 	 	3.14E-03	CXCL8,RCAN1,TP53	 
tenofovir	 	chemical drug	 	 	 	4.32E-02	CXCL8	 
adenine	 	chemical - endogenous mammalian	 	 	 	4.32E-02	CXCL8	 
pirinixic acid	 	chemical toxicant	 	-0.908	 	1.26E-02	ACSS2,ADIPOR2,CGA,CXCL8,CYP4A11,PLIN2	 
PD 180970	 	chemical - kinase inhibitor	 	 	 	2.77E-03	BCL2L1,MYC	 
PP1	 	chemical - kinase inhibitor	 	1.387	 	2.63E-04	BCL2L1,CGA,CXCL8,ERBB2,MYC	67 (14)
SB 220025	 	chemical - kinase inhibitor	 	 	 	2.18E-02	CXCL8	 
S-nitroso-N-acetyl-DL-penicillamine	 	chemical reagent	 	 	 	2.96E-02	BRCA1,CXCL8,TP53	 
L-cysteine	 	chemical - endogenous mammalian	 	 	 	9.29E-03	CXCL8,MYC	 
L-serine	 	chemical - endogenous mammalian	 	 	 	9.29E-03	PSAT1,TP53	 
L-glutamic acid	 	chemical - endogenous mammalian	 	 	 	4.04E-02	BCL2L1,ROCK2,TIMP1	 
hyaluronic acid	 	chemical - endogenous mammalian	 	-1.283	 	4.53E-03	BCL2L1,CXCL8,CXCR1,ERBB2,LY96,TIMP1	81 (16)
1,4-glucan	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CXCL8	 
amphotericin B	 	chemical drug	 	 	 	2.30E-02	CXCL8,TIMP1	 
nystatin	 	chemical drug	 	 	 	4.55E-03	CXCL8,TIMP1	 
novobiocin	 	chemical drug	 	 	 	9.29E-03	ERBB2,TP53	39 (5)
clorobiocin	 	chemical drug	 	 	 	4.32E-02	ERBB2	 
beta-estradiol	 	chemical - endogenous mammalian	 	-0.219	 	5.49E-03	ABCB10,AGO2,BCL2L1,BIRC3,BRCA1,C9orf24,CCL20,CGA,CKS1B,CXCL8,CYP2E1,DKK1,ELF1,ERBB2,ERH,H2AC18/H2AC19,HSPD1,IFNGR2,IGFBP1,IGFBP7,IQGAP1,JAK2,LAMB1,mir-515,mir-548,MYC,PIAS3,PLIN2,PSAT1,RASGRP1,RFX5,RXRA,S100A11,SEMA3A,SGK1,SLIT2,SMAD7,TAC1,TIMP1,TP53	84 (14)
hydrogen peroxide	 	chemical - endogenous mammalian	 	-0.973	 	3.07E-03	BCL2L1,BIRC3,BRCA1,BUB1B,CKS1B,CTSS,CXCL8,DDX52,DKK1,EEF1B2,FLOT2,HELLS,IER5,MYC,RPL31,SQLE,TP53	58 (14)
1-palmitoyl-2-oleoylglycero-3-phosphoglycerol	 	chemical reagent	 	 	 	4.32E-02	CXCL8	 
phosphatidylcholine	 	chemical - endogenous mammalian	 	 	 	1.22E-02	CYP2E1,MAT1A	 
asialo GM1 ganglioside	 	chemical - endogenous mammalian	 	 	 	4.32E-02	CXCL8	 
