© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
dexamethasone	 	chemical drug	Activated	2.247	 	4.29E-04	ABCB4,ABCC2,ACACA,ANKRD1,ATP2B4,BCR,BIRC2,BLZF1,CARD6,CCT2,CD44,CEACAM1,CEP63,CEP70,CHD4,COL4A3,CRP,CRYAB,CXCL10,CYB5A,CYP11A1,CYP19A1,CYP2B6,CYP2B7P,CYP2C8,CYP2C9,CYP2E1,CYP4A11,EHF,EPB41,EPSTI1,FAIM,FLNB,FN1,HADHB,HLA-DPA1,HLTF,HPGD,ID1,ID2,IFNAR2,IGFBP1,IL22,IRF8,JAK2,JUN,KCNJ15,KIF4A,KRBOX4,LDHA,LYVE1,MERTK,mir-506,NFIL3,NUP50,PCK1,PDE4B,PDE4D,PLAUR,PLIN2,POLB,PRKAR2B,PRKCA,RABGAP1L,RASL11B,RBL2,RPS6KA5,SEC14L1,SENP1,SERPINB1,SGK1,SPTBN1,SRRM1,STK38,STOM,SUPT6H,THBS1,TXNIP,UBD,USP2,VARS1,VEGFA,VIM,VNN1,XRN2,ZNF750	144 (7)
Tgf beta	 	group	Activated	2.538	 	2.21E-01	FN1,JAK1,JUN,let-7,MERTK,mir-30 (includes others),RORA,RUNX3,SGK1,THBS1,VEGFA,VIM	 
MAP2K1/2	 	group	Activated	2.357	bias	3.49E-02	CYP7A1,JAK1,JUN,let-7,VEGFA,VIM	 
Vegf	 	group	Activated	3.217	bias	1.13E-02	AKAP12,ANGPT4,APAF1,ARHGAP18,CD44,CHIA,COL4A3,CRYAB,CXCL10,CYP4A11,DHPS,DKC1,EHF,FN1,ID1,ITPR3,JUN,LYVE1,PIK3CB,PLAUR,PRKCB,RGS9,SGK1,SLC20A1,STK10,TNFRSF10C,TUBGCP3,VIM	 
KDM8	 	enzyme	Activated	2.630	bias	6.91E-03	ACACA,ACOX1,CYP11A1,ID1,LDHA,PDK1,TALDO1,VEGFA	 
STAT3	 	transcription regulator	Activated	2.459	bias	4.06E-03	CD44,CEACAM1,CEP70,CRP,CXCL10,DNMT3B,DTX3,FN1,HNRNPD,ID1,ID2,IGFBP1,IL22,JAK2,LDHA,MAP2K5,NRP2,PDK1,PGK1,PLAUR,RORA,RRAS2,SERPINB1,SGK1,THBS1,UBD,VEGFA,VIM	119 (5)
F2R	 	G-protein coupled receptor	Activated	2.243	bias	9.20E-03	BIRC2,CD44,FN1,IGFBP1,LAMB1,PLAUR,THBS1,VEGFA,VIM	79 (5)
HIF1A	 	transcription regulator	Activated	3.150	bias	1.39E-03	AKAP12,ARPC2,BACH2,BIRC2,CD44,CITED2,CTPS1,EGLN3,ERGIC1,FN1,HUWE1,ID2,IL22,LDHA,NBN,PDK1,PGK1,PLAUR,PRKCA,SPOP,THBS1,TMEM128,TMEM45A,VEGFA,VIM	119 (5)
MED1	 	transcription regulator	Activated	2.433	bias	1.17E-02	ACACA,ACP6,APOB,CYP11A1,ID2,IRF8,PPP3CB	 
PPARA	 	ligand-dependent nuclear receptor	Activated	2.790	bias	9.39E-06	ABCB4,ACADVL,ACOX1,APAF1,APOA4,CPT1A,CYP4A11,CYP7A1,EP300,FABP1,HMGCS2,IGFBP1,PCK1,PLIN2,VEGFA,VNN1	29 (6)
