Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006633,fatty acid biosynthetic process,19_GO:0008152 metabolic process,-5.7,4.7,6.5,27994,173,483,14,2.9,0.76,672|1565|1571|1579|2946|2948|7376|55902|60481|79602|85414|200879|221955|100302288,BRCA1|CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|NR1H2|ACSS2|ELOVL5|ADIPOR2|SLC45A3|LIPH|DAGLB|MIR548P,-2.6,0.1 uM
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-5.3,2.6,5.4,27994,621,483,28,5.8,1.1,728|1081|2660|3576|3678|3717|3912|3965|4851|5063|5091|6282|6364|6608|6863|8826|9181|9353|9475|10371|27161|56034|57214|84299|85360|154810|406893|406990,C5AR1|CGA|MSTN|CXCL8|ITGA5|JAK2|LAMB1|LGALS9|NOTCH1|PAK3|PC|S100A11|CCL20|SMO|TAC1|IQGAP1|ARHGEF2|SLIT2|ROCK2|SEMA3A|AGO2|PDGFC|CEMIP|MIEN1|SYDE1|AMOTL1|MIR101-1|MIR208A,-2.3,0.1 uM
Reactome Gene Sets,6,R-HSA-5688426,Deubiquitination,,-5.3,3.5,5.8,27994,297,483,18,3.7,0.86,330|409|580|672|2648|3012|4092|4194|4609|7157|8078|8329|9736|9960|55593|85235|171023|317772,BIRC3|ARRB2|BARD1|BRCA1|KAT2A|H2AC8|SMAD7|MDM4|MYC|TP53|USP5|H2AC13|USP34|USP3|OTUD5|H2AC12|ASXL1|H2AC21,-2.3,0.1 uM
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-5.1,2.7,5.3,27994,567,483,26,5.4,1,728|1081|2660|3576|3678|3717|3912|3965|4851|5063|6282|6364|6608|6863|8826|9181|9475|10371|27161|56034|57214|84299|85360|154810|406893|406990,C5AR1|CGA|MSTN|CXCL8|ITGA5|JAK2|LAMB1|LGALS9|NOTCH1|PAK3|S100A11|CCL20|SMO|TAC1|IQGAP1|ARHGEF2|ROCK2|SEMA3A|AGO2|PDGFC|CEMIP|MIEN1|SYDE1|AMOTL1|MIR101-1|MIR208A,-2.2,0.1 uM
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-4.8,2.5,5,27994,593,483,26,5.4,1,728|1081|2660|3576|3678|3717|3912|3965|4851|5063|6282|6364|6608|6863|8826|9181|9475|10371|27161|56034|57214|84299|85360|154810|406893|406990,C5AR1|CGA|MSTN|CXCL8|ITGA5|JAK2|LAMB1|LGALS9|NOTCH1|PAK3|S100A11|CCL20|SMO|TAC1|IQGAP1|ARHGEF2|ROCK2|SEMA3A|AGO2|PDGFC|CEMIP|MIEN1|SYDE1|AMOTL1|MIR101-1|MIR208A,-2,0.1 uM
GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0048518 positive regulation of biological process,-4.6,2.5,4.9,27994,611,483,26,5.4,1,728|1081|2660|3576|3678|3717|3912|3965|4851|5063|6282|6364|6608|6863|8826|9181|9475|10371|27161|56034|57214|84299|85360|154810|406893|406990,C5AR1|CGA|MSTN|CXCL8|ITGA5|JAK2|LAMB1|LGALS9|NOTCH1|PAK3|S100A11|CCL20|SMO|TAC1|IQGAP1|ARHGEF2|ROCK2|SEMA3A|AGO2|PDGFC|CEMIP|MIEN1|SYDE1|AMOTL1|MIR101-1|MIR208A,-1.8,0.1 uM
Reactome Gene Sets,6,R-HSA-5689880,Ub-specific processing proteases,,-4.5,3.7,5.3,27994,220,483,14,2.9,0.76,330|409|2648|3012|4092|4194|4609|7157|8078|8329|9736|9960|85235|317772,BIRC3|ARRB2|KAT2A|H2AC8|SMAD7|MDM4|MYC|TP53|USP5|H2AC13|USP34|USP3|H2AC12|H2AC21,-1.8,0.1 uM
GO Biological Processes,19,GO:0046394,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-4.5,2.7,4.9,27994,476,483,22,4.6,0.95,633|672|1565|1571|1579|2946|2948|7157|7360|7376|29968|55902|57214|60481|79602|80270|85414|200879|221955|284541|387712|100302288,BGN|BRCA1|CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|TP53|UGP2|NR1H2|PSAT1|ACSS2|CEMIP|ELOVL5|ADIPOR2|HSD3B7|SLC45A3|LIPH|DAGLB|CYP4A22|ENO4|MIR548P,-1.8,0.1 uM
GO Biological Processes,19,GO:0016053,organic acid biosynthetic process,19_GO:0008152 metabolic process,-4.5,2.7,4.9,27994,477,483,22,4.6,0.95,633|672|1565|1571|1579|2946|2948|7157|7360|7376|29968|55902|57214|60481|79602|80270|85414|200879|221955|284541|387712|100302288,BGN|BRCA1|CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|TP53|UGP2|NR1H2|PSAT1|ACSS2|CEMIP|ELOVL5|ADIPOR2|HSD3B7|SLC45A3|LIPH|DAGLB|CYP4A22|ENO4|MIR548P,-1.8,0.1 uM
Reactome Gene Sets,6,R-HSA-211859,Biological oxidations,,-4.5,3.7,5.3,27994,222,483,14,2.9,0.76,216|1565|1571|1579|1580|2946|2948|4143|6256|7360|7365|10720|55902|284541,ALDH1A1|CYP2D6|CYP2E1|CYP4A11|CYP4B1|GSTM2|GSTM4|MAT1A|RXRA|UGP2|UGT2B10|UGT2B11|ACSS2|CYP4A22,-1.8,0.1 uM
Reactome Gene Sets,6,R-HSA-5689901,Metalloprotease DUBs,,-4.4,9.4,6.8,27994,37,483,6,1.2,0.5,580|672|3012|8329|85235|317772,BARD1|BRCA1|H2AC8|H2AC13|H2AC12|H2AC21,-1.8,0.1 uM
Reactome Gene Sets,6,R-HSA-211958,Miscellaneous substrates,,-4.4,19,8.4,27994,12,483,4,0.83,0.41,1565|1579|1580|284541,CYP2D6|CYP4A11|CYP4B1|CYP4A22,-1.8,0.1 uM
