_MEMBER_0.1 uM,_MEMBER_10 uM,_MEMBER_100 uM,_LogP_0.1 uM,_LogP_10 uM,_LogP_100 uM,GO,_PATTERN_,_RANK_,GiniIndex,#GeneInGO,#GeneInGOAndHitList,#GeneInHitList,#TotalGeneInLibrary,%InGO,Category,CategoryID,Description,Enrichment,GeneID,Hits,Log(q-value),LogP,PARENT_GO,STDV %InGO,Z-score,EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,1,0,-2.879533821815885,-11.854227086135316,0.0,hsa00982,M110,2,0,70,18,829,27994,2.1712907117008444,KEGG Pathway,24,Drug metabolism - cytochrome P450,8.683301740479063,124|125|126|127|221|1555|2329|2330|2938|2939|2946|2947|7364|7365|7366|7367|10720|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CYP2B6|FMO4|FMO5|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-7.809001932437911,-11.854227086135316,,0.5061915415507001,11.243595868207521,0,1,1,1,-11.854227086135316,9.455150784077201,
1,1,0,-2.879533821815885,-11.854227086135316,0.0,ko00982,M110,2,0,70,18,829,27994,2.1712907117008444,KEGG Pathway,24,Drug metabolism - cytochrome P450,8.683301740479063,124|125|126|127|221|1555|2329|2330|2938|2939|2946|2947|7364|7365|7366|7367|10720|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CYP2B6|FMO4|FMO5|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-7.809001932437911,-11.854227086135316,,0.5061915415507001,11.243595868207521,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,0,-2.754473870749559,-9.38689925521945,0.0,ko00980,M110,2,0,74,16,829,27994,1.9300361881785284,KEGG Pathway,24,Metabolism of xenobiotics by cytochrome P450,7.301274736739153,124|125|126|127|221|1555|2938|2939|2946|2947|7364|7365|7366|7367|10720|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CYP2B6|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-5.5177653605777275,-9.38689925521945,,0.4778300609057113,9.481645216790083,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,0,-2.6950551499582973,-9.20400975130362,0.0,hsa00980,M110,2,0,76,16,829,27994,1.9300361881785284,KEGG Pathway,24,Metabolism of xenobiotics by cytochrome P450,7.109135927877595,124|125|126|127|221|1555|2938|2939|2946|2947|7364|7365|7366|7367|10720|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CYP2B6|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-5.459814593270196,-9.20400975130362,,0.4778300609057113,9.31625925354841,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,0,-2.372128146824551,-8.774564315625607,0.0,hsanan01,M110,2,0,117,29,1961,27994,1.4788373278939317,KEGG Pathway,24,drug metabolism,3.5383395006036515,124|125|126|127|221|1555|1558|1559|1565|1571|1854|2329|2330|2938|2939|2946|2947|2948|6023|7084|7364|7365|7366|7367|7372|10201|10720|50484|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|CYP2B6|CYP2C8|CYP2C9|CYP2D6|CYP2E1|DUT|FMO4|FMO5|GSTA1|GSTA2|GSTM2|GSTM3|GSTM4|RMRP|TK2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UMPS|NME6|UGT2B11|RRM2B|UGT2B28,-5.170643780453774,-8.81792892547914,,0.2725750933467952,7.551287947262533,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-7.785175493833556,0.0,ko05204,M010,1,0,82,15,829,27994,1.8094089264173703,KEGG Pathway,24,Chemical carcinogenesis,6.177145547088765,124|125|126|127|221|2938|2939|2946|2947|7364|7365|7366|7367|10720|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-4.284018384486427,-7.785175493833556,,0.46294141648918286,8.201607002017303,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-7.285647403186906,0.0,hsa05204,M010,1,0,89,15,829,27994,1.8094089264173703,KEGG Pathway,24,Chemical carcinogenesis,5.691302638890772,124|125|126|127|221|2938|2939|2946|2947|7364|7365|7366|7367|10720|54490,ADH1A|ADH1B|ADH1C|ADH4|ALDH3B1|GSTA1|GSTA2|GSTM2|GSTM3|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-3.842482240817464,-7.285647403186906,,0.46294141648918286,7.743629631644425,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,1,-2.9792713660965555,-7.147923481796214,-2.276256106527853,hsa00830,M111,3,0,67,13,829,27994,1.5681544028950543,KEGG Pathway,24,Retinol metabolism,6.552076769349873,124|125|126|127|1555|7364|7365|7366|7367|10720|10901|54490|284541,ADH1A|ADH1B|ADH1C|ADH4|CYP2B6|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|DHRS4|UGT2B28|CYP4A22,-3.7559108418741536,-7.147923481796214,,0.4315041329080761,7.948365946909244,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,0,-2.2764742307729087,-6.39728026831094,0.0,ko00830,M110,2,0,65,12,829,27994,1.4475271411338964,KEGG Pathway,24,Retinol metabolism,6.234165352138815,124|125|126|127|1555|7364|7365|7366|7367|10720|10901|54490,ADH1A|ADH1B|ADH1C|ADH4|CYP2B6|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|DHRS4|UGT2B28,-3.0924178041077797,-6.39728026831094,,0.41482971245637035,7.380292192119795,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-5.372130572497166,0.0,R-HSA-156580,M010,1,0,109,14,829,27994,1.6887816646562124,Reactome Gene Sets,6,Phase II - Conjugation of compounds,4.337225130310642,2938|2939|2946|2947|7360|7364|7365|7366|7367|9061|10249|10720|54490|92292,GSTA1|GSTA2|GSTM2|GSTM3|UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|PAPSS1|GLYAT|UGT2B11|UGT2B28|GLYATL1,-2.3259902760717353,-5.372130572497166,,0.4475185340350453,6.098324956064643,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,0,-2.052840216785879,-5.231233205091681,0.0,R-HSA-156588,M110,2,0,25,7,829,27994,0.8443908323281062,Reactome Gene Sets,6,Glucuronidation,9.455150784077201,7360|7364|7365|7366|7367|10720|54490,UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-2.257234331764262,-5.231233205091681,,0.31779944392053505,7.388393617630156,0,1,0,0,-11.854227086135316,9.455150784077201,
