GO,Description,_LogP_0.1 uM,_LogP_10 uM,_LogP_100 uM
R-HSA-2990846,SUMOylation,-2.779687673542944,-2.824384070121112,0.0
GO:0040017,positive regulation of locomotion,-5.344073677853819,-2.4497955303337706,0.0
hsa00982,Drug metabolism - cytochrome P450,-2.879533821815885,-11.854227086135316,0.0
GO:0032787,monocarboxylic acid metabolic process,-3.5906325965332866,-5.775571459550607,-5.37121542976914
R-HSA-556833,Metabolism of lipids,-3.2657039791527818,-3.1068942677269864,-7.043195567971496
GO:0019216,regulation of lipid metabolic process,-2.8315027488227127,-3.263586707256326,-4.628200501327417
R-HSA-211859,Biological oxidations,-4.455307794939536,-7.903093243249987,-3.5524211469539324
R-HSA-1640170,Cell Cycle,-2.6373498962334225,0.0,-2.806162567491076
R-HSA-5688426,Deubiquitination,-5.316284165319269,0.0,-2.15108224272987
ko05222,Small cell lung cancer,-3.201502760788667,0.0,-4.155607009406362
ko04151,PI3K-Akt signaling pathway,-3.010347367297428,0.0,-3.9623316963154327
R-HSA-211897,Cytochrome P450 - arranged by substrate type,-3.0137432389528924,0.0,-6.002684363624962
M255,PID HIF1 TFPATHWAY,0.0,0.0,-5.16833036120734
R-HSA-8953854,Metabolism of RNA,0.0,0.0,-5.223278239414041
GO:0042180,cellular ketone metabolic process,0.0,0.0,-4.970489605936063
ko05205,Proteoglycans in cancer,0.0,0.0,-4.0384162179560645
GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,0.0,0.0,-3.649231628393969
GO:0022613,ribonucleoprotein complex biogenesis,0.0,0.0,-6.126242862156438
GO:0051186,cofactor metabolic process,0.0,0.0,-2.455402143098019
GO:0031647,regulation of protein stability,0.0,0.0,-2.4748133243076285
