GO,Description,_LogP_0.1 uM,_LogP_10 uM,_LogP_100 uM
GO:0002376,immune system process,-3.7587769851093227,0.0,-2.8481968454261493
GO:0040007,growth,-3.353961825411059,0.0,-2.062030969089951
GO:0023052,signaling,-3.223771289867571,0.0,-2.961268910481777
GO:0022610,biological adhesion,-2.3742507003779654,0.0,-2.887200590519769
GO:0022414,reproductive process,-3.869336134876709,0.0,0.0
GO:0048519,negative regulation of biological process,-3.7587769851093227,-2.8933398249895,-3.53725813154519
GO:0032502,developmental process,-2.6995185080237434,-2.167994295582466,-3.7398563724035148
GO:0050896,response to stimulus,-2.66361900356483,-3.4270063177738574,-3.2607641307258404
GO:0065007,biological regulation,-2.376104028079526,-2.775387277185352,-2.6928766680356913
GO:0032501,multicellular organismal process,-2.466565555233957,-2.449800925942849,-2.3680593618446015
GO:0040011,locomotion,-5.344073677853819,-2.749520394124186,-2.0572870101251195
GO:0051179,localization,-3.726457383389828,-4.560490844291998,-4.9641582221394795
GO:0050789,regulation of biological process,-3.467878741612445,-3.273088040057083,-4.628200501327417
GO:0008152,metabolic process,-5.692142333994244,-5.775571459550607,-5.849347866226735
GO:0071840,cellular component organization or biogenesis,-4.3125190910093885,-2.606105415021174,-6.126242862156438
GO:0048518,positive regulation of biological process,-4.572894670929254,-2.887322734512795,-4.364984485792672
GO:0009987,cellular process,-3.92899316190806,-2.807722768524855,0.0
GO:0051704,multi-organism process,-3.2196624813854196,-2.4564446305877303,0.0
GO:0008283,cell proliferation,-2.8722439876381123,-2.188113344133892,0.0
