"Transcript Cluster ID","GenX_100uM vs. GenX_UT","Gene Symbol","0.1uMFold Change","10uMFold Change"
"TC0100006467.hg.1",1.01,"FAM87B",1.869976,2.023103
"TC0100006469.hg.1",1.42,"LINC01128",1.41066,2.417508
"TC0100006623.hg.1",-2.35,"CCDC27",1.065884,-1.277276
"TC0100006650.hg.1",-1.18,"AJAP1",-2.014456,-1.494445
"TC0100006666.hg.1",2.31,"RP1-58B11.1",2.543562,1.088333
"TC0100006675.hg.1",1.17,"KCNAB2",-2.357454,-1.134558
"TC0100006724.hg.1",3.12,"RP3-467L1.6",-1.046469,1.229039
"TC0100006806.hg.1",2.07,"UBE4B",1.232904,1.232904
"TC0100006835.hg.1",-1.41,"HSPE1P24",-1.149797,2.161136
"TC0100006849.hg.1",-1.5,"ANGPTL7",1.019937,-6.143326
"TC0100006891.hg.1",-1.39,"SNORA59B; SNORA59A",-1.787818,-2.249852
"TC0100006903.hg.1",-2.28,"AADACL3",1.328152,-1.257519
"TC0100006910.hg.1",-2.65,"PRAMEF2",-1.499145,1.201511
"TC0100006925.hg.1",2.48,"PRAMEF16; PRAMEF17",1.064569,1.064569
"TC0100007026.hg.1",-2.35,"ARHGEF19-AS1; RP4-733M16.2",-1.054749,-1.284298
"TC0100007046.hg.1",2.38,"RP4-798A10.7",1.197645,1.910738
"TC0100007333.hg.1",2.33,"PITHD1",-1.20402,1
"TC0100007409.hg.1",-1.25,"RP11-70P17.1",1.58211,2.040921
"TC0100007424.hg.1",-2.83,"SNRPFP2",-1.017063,-1.017063
"TC0100007439.hg.1",-1.5,"PDIK1L",-1.193286,-2.06218
"TC0100007477.hg.1",2.61,"ARID1A",-1.455536,1
"TC0100007486.hg.1",1.04,"SFN",-2.034141,1.127713
"TC0100007574.hg.1",2.63,"EPB41",-1.122106,1.129732
"TC0100007634.hg.1",2.15,"ZCCHC17",1,-1.286882
"TC0100007691.hg.1",-1.07,"KIAA1522",-1.870223,-2.112293
"TC0100007763.hg.1",1.2,"Y_RNA",-2.257505,-1.417599
"TC0100007786.hg.1",2.56,"AGO1",1.430322,-1.449012
"TC0100007813.hg.1",-2.18,"CSF3R",-1.213993,1.075763
"TC0100007827.hg.1",-1.63,"MIR4255",1.190535,2.380212
"TC0100007851.hg.1",-1.14,"RNU6-584P",3.058279,-1.234152
